"name","url","description","platform","location"
"Swiss Open Government Data","https://opendata.swiss","The Open Government Data at the Confederation project is a joint undertaking by the Swiss Federal Archives and their project partners to create a central pilot portal providing access to open data from the Swiss authorities.","CKAN","Switzerland"
"Ukraine open data community","http://data-gov-ua.org","Community effort","CKAN","Ukraine"
"Humanitarian Data Exchange","https://data.humdata.org","The Humanitarian Data Exchange (HDX) is an open platform for sharing humanitarian data. HDX is working to provide fast access to meaningful data and insightful analytics to the humanitarian community worldwide.","CKAN","Globe"
"Datahub","https://datahub.io","The DataHub, administered by the Open Knowledge Foundation, was the first ever CKAN installation. Anyone can add or edit data or records, so the site can be thought of a bit like a data wiki. The DataHub is widely used by a variety of groups, including the Linked Data community who use it to generate the LOD cloud diagram showing the current extent of Linked Data sets.","CKAN","Globe"
"International Aid Transparency Initiative","https://iatiregistry.org","The International Aid Transparency Initiative has a data portal where it publishes an index of data on international development activities, with data from donor organisations and countries.","CKAN","Globe"
"Brigade Open Data Sharing Platform","brigades.opendatanetwork.com",,"Socrata","Globe"
"Water Point Data Exchange Data","data.waterpointdata.org",,"Socrata","Globe"
"World Bank Group Finances","finances.worldbank.org",,"Socrata","Globe"
"North American Transportation Statistics NATS","www.natsdatasct.gob.mx",,"Socrata","Globe"
"United Nations Capital Development Fund","data.map.uncdf.org",,"Socrata","Globe"
"HealthData.gov","http://www.healthdata.gov","The U.S. Department of Health and Human Services open data platform","DKAN","United States"
"Open Data Cologne","http://www.offenedaten-koeln.de","Cologne’s (Germany) open data platform","DKAN","Cologne, Germany"
"USDA National Agricultural Library","https://data.nal.usda.gov","","DKAN","United States"
"Stadt Mannheim","https://opendata.mannheim.de","","DKAN","Mannheim, Germany"
"Belarus","https://opendata.by","","DKAN","Belarus"
"Open Data Bosnia and Herzegovina","http://opendata.ba","","DKAN","Bosnia and Herzegovina"
"openpompeii","http://open.pompeiisites.org","","DKAN","Pompei, Italy"
"Mexican IMSS","http://datos.imss.gob.mx","","DKAN","Mexico"
"data.ok.gov","http://data.ok.gov","Data.ok.gov is a service designed to provide Oklahomans with deep access to data and statistics about the activities of Oklahoma’s government. It’s a simple way to explore data about the economy, public health, transportation, the environment, and more, all on one Website.","DKAN","Oklahoma"
"Open Knowledge El Salvador","http://datoselsalvador.org","","DKAN","El Salvador"
"North Dakota GIS","https://gis.nd.gov","","DKAN","North Dakota"
"Louisville Metro Open Data Portal","https://data.louisvilleky.gov","","DKAN","Louisville, KY"
"California OPen Data Portal","https://data.ca.gov","","DKAN","California"
"City of San Diego Open Data Portal","http://data.sandiego.gov","","DKAN","San Diego, CA"
"Cambridgeshire Insight","http://opendata.cambridgeshireinsight.org.uk","","DKAN","Cambridgeshire, UK"
"Marine Scotland","http://marinedata.scotland.gov.uk","","DKAN","Scotland, UK"
"Detail Data Portal","http://data.nicva.org","","DKAN","Northern Ireland, UK"
"OFFENE DATEN: BONN","https://opendata.bonn.de","","DKAN","Bonn, Germany"
"OFFENE DATEN WUPPERTAL","http://offenedaten-wuppertal.de","","DKAN","Wuppertal, Germany"
"Rhein-Neckar-Verkehr GmbH","https://opendata.rnv-online.de","","DKAN","Germany"
"OFFENE DATEN: kdvz Rhein-Erft-Rur","http://offenedaten.kdvz-frechen.de","","DKAN","Frechen, Germany"
"Open Data del Comune di Genova","http://dati.comune.genova.it","","DKAN","Genova, Italy"
"Open Data Formia","http://dati.comune.formia.lt.it",,"DKAN","Formia, Italy"
"Open Data Portal for the European Structural Inverstment Funds","cohesiondata.ec.europa.eu","Giving access to data on financing and achievements under the ESI Funds 2014-2020. Financing data relates to 533 programmes at November 2016 while achievement data relates to implementation details by end-December 2015.","Socrata-EU","Europe"
"Grup Sagessa Dades Obertes","dadesobertes.grupsagessa.cat",,"Socrata-EU","Spain"
"Bath: Hacked","data.bathhacked.org",,"Socrata-EU","Bath & North East Somerset, UK"
"CDP Open Data Portal","data.cdp.net",,"Socrata-EU","Globe"
"Eindhoven Open Data","data.eindhoven.nl",,"Socrata-EU","Eindhoven, Netherlands"
"Sheffield Open Data","data.sheffield.gov.uk",,"Socrata-EU","Sheffield, UK"
"Art Data Impact Open Data Portal","data.theaudienceagency.org",,"Socrata-EU","United Kingdom"
"Gavà Open Data","gavaobert.gavaciutat.cat",,"Socrata-EU","Gavà, Spain"
"Gijón Open Data","observa.gijon.es",,"Socrata-EU","Gijón, Spain"
"Bristol City Council Open Data","opendata.bristol.gov.uk",,"Socrata-EU","Bristol, UK"
"Camden Council Open Data","opendata.camden.gov.uk",,"Socrata-EU","London Borough of Camden, UK"
"Cheshire East Open Data","opendata.cheshireeast.gov.uk",,"Socrata-EU","Cheshire East, UK"
"Granollers Open Data","opendata.granollers.cat",,"Socrata-EU","Granollers, Spain"
"RDW Open Data","opendata.rdw.nl",,"Socrata-EU","Netherlands"
"Rubí Open Data","opendata.rubi.cat",,"Socrata-EU","Rubí, Spain"
"Terrassa Open Data","opendata.terrassa.cat",,"Socrata-EU","Terrassa, Spain"
"Portal de Transparència de la Diputació de Lleida","portaltransparencia.diputaciolleida.cat",,"Socrata-EU","Lleida, Spain"
"Regione Autonoma Friuli Venezia Giulia Open Data","www.dati.friuliveneziagiulia.it",,"Socrata-EU","Friuli-Venezia Giulia, Italy"
"Open Data Regione Lombardia","www.dati.lombardia.it",,"Socrata-EU","Lombardy, Italy"
"Oxfordshire Open Data","www2.oxopendata.uk",,"Socrata-EU","Oxfordshire, UK"
"City of Sacramento Open Data","http://data.cityofsacramento.org",,"Junar","Sacramento, CA"
"City of Palo Alto Open Data","http://data.cityofpaloalto.org",,"Junar","Palo Alto, CA"
"Penalolen Open Data","http://recursos.penalolen.cl",,"Junar","Penalolen, Chile"
"City of San Jose Open Data","http://data.sanjoseca.gov",,"Junar","San Jose, CA"
"Puente Alto Open Data","http://datos.mpuentealto.cl",,"Junar","Puente Alto, Chile"
"City of Cupertino Open Data Portal","http://data.cupertino.org",,"Junar","Cupertino, CA"
"City of Pasadena Open Data","http://data.cityofpasadena.net",,"Junar","Pasadena, CA"
"La Nacion Data","http://data.lanacion.com.ar",,"Junar","Argentina"
"Anaheim Open Data Portal","http://anaheim.opendata.junar.com",,"Junar","Anaheim, CA"
"Sacramento County Open Data Portal","http://data.saccounty.net",,"Junar","Sacramento County, CA"
"Cordoba Deliberative Council Open Data","http://cdcordoba.opendata.junar.com",,"Junar","Cordoba, Argentina"
"INSTITUTO GEOGRÁFICO NACIONAL","http://data.ignarg.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Argentina"
"Openware","http://openware.client1.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Kuwait"
"Esri Nederland-Arc GIS Open Data Demonstratie","http://opendata.esrinl-content.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Netherlands"
"Esri UK Government Portal","http://esriuk.govportal.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United Kingdom"
"Чебоксары-Телеком","http://chbtk.chbtk.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Russia"
"Topomat Technologies Opendataportal","http://portal.topomat.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Switzerland"
"桃園市政府開放空間資料","http://taoyuan.esritw.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Taiwan, China"
"Ville d'Annecy","http://data.annecy.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","France"
"SIT Comunedi Bergamo","http://data2.bergamo.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Italy"
"Avri","http://data.avri.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Netherlands"
"Begraafplaatsen2013","http://begraafplaatsen2013.agel.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Netherlands"
"Inspectoratul Generalpentru Situațiide Urgență","http://date.igsu.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Romania"
"Centersfor Disease Controland Prevention","http://data.giscdc.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Nigeria"
"Geo Portaal's-Hertogenbosch","http://geoportaal.s-hertogenbosch.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Netherlands"
"Welkombijhet Geo-Portaalvande'gemeente Renkum'","http://portaal.renkum.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Netherlands"
"SENACE","http://data.sicam.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Peru"
"Cyfoeth Naturiol Cymru","http://cyfoethnaturiolcymru.nrw.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United Kingdom"
"Service Birmingham","http://data.sbham.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United Kingdom"
"S Oopendata","http://sodata.s-hertogenbosch.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Netherlands"
"Richard Curry","http://data.richardcurry.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United Kingdom"
"Open Data GISMOL","http://opendatagismol.gis-mol.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Slovenia"
"Esri Sverigeskommunportal","http://data.kommun.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Sweden"
"Nelson City Council Open Data","http://data.nelsoncity.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","New Zealand"
"Logan City Council","http://data.logancity.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Australia"
"City of Pasadena,CAOpen Data","http://cityofpasadenaca.pasgis.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Lincoln County MNGIS Data","http://lincolncountymngisdata.lcmn.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Navigate Indy Open Data","http://data1.indygis.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"New Jersey Officeof GIS-Open Data","http://njogis.newjersey.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Three Rivers Park District","http://gis.trpd.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Derived Federal Open Data","http://open.fedmaps.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Du Page County Illinois","http://dupageilgis.dupage.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Esri SDI Team Open Data Site","http://beta.sdi.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Hamilton County TNGIS","http://hcgistn.hamcogis.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"IDPH Open Data","http://idphopendata.idph.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"IPMP Data Exploration Interface","http://local.ipmp.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Lewis& Clark County-City of Helena GIS","http://gisdata.helenamtmaps.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"MDOT Open Data-About","http://about.mdot.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"New Hogan Campout-US Army Corpsof Engineers,Sacramento District","http://nhc.cespk.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"City of Fredericton","http://data1.fredericton.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Canada"
"Henry County GIS Layer Download","http://data.henrycounty.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Robbinsnest Data","http://robbinsnestdata.sumter.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Salt Lake City GIS Open Data","http://gis.slcgov.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"San Bernardino County Departmentof Public Works Open Data-Copy","http://gisinfo.sbcountydpw.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Townof Amherst,MAOpen Data","http://maps.amherstma.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"UCLAGIS Open Data Portal","http://mapshare.uclagisadmin.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Madison County Councilof Governments","http://data.mccog.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Open Data SS Ltest","http://data3.ess-ioo.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Open Ramsey","http://openramsey.ramseygis.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Prince George's County,Maryland-GIS Open Data","http://gis.princegeorges.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Farsi Maps","http://fod.fgt.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Saudi Arabia"
"Metropolitan Area Planning Council","http://data.metroboston.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"MDOT Open Data-Contact","http://contact.mdot.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Townof Oakville","http://data.exploreoakville.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Canada"
"Regional Approachesto Climate Changefor Pacific Northwest Agriculture(REACCHPNA)","http://test.reacchpna.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"ringgoldassessor","http://data.ringgoldcounty.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Salmonberry","http://salmonberry.parametrix.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Smith College Spatial Analysis Lab","http://data.smithcollege.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Will County GIS","http://data.willcountygis.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Wisconsin State Legislature","http://data.ltsb.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Support ESRI Francetug","http://tug.d2esrifrance.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","France"
"Open Data Portal","http://public.hhsproto.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Open Salem","http://opensalem.salem.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Pottawattamie County GIS","http://nri.pottcounty.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Stark County Ohio Open Data","http://downloads.starkcountyohio.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Valley Metro","http://data.valleymetro.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"V Trans","http://data.vtrans.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"V Transparency","http://vtransparency.vtrans.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Avoin Data","http://avoindata.esrifinland.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Finland"
"Geo Portaildela Formation Esri France","http://formation.formaesrifrance.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","France"
"Support ESRI France_FLT","http://flt.d2esrifrance.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","France"
"Aalborg OD","http://aalborg.gis2dk.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Denmark"
"Ayesa Advanced Technologies","http://data.ayat.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Spain"
"Open Data-Ayuntamientode Madrid","http://opendata.madrid.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Spain"
"Brown County Wisconsin","http://data.browncounty.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"City of Mc Kinney Open Data","http://data.cosa.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"City of New Braunfels,Texas","http://data.newbraunfels.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"City of Rifle Data","http://cityofrifledata.cityofrifle.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"CWRU Open Data","http://cwruopendata.cwru.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Departmentof Education","http://data.deptofed.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Superintendênciade Trânsitoe Transportes Públicos","http://data.sttpcg.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Brazil"
"Données ouvertes de la ville de Québec(démo)","http://capitale.esriquebec.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Canada"
"Districtof Lake Country-Open Data","http://dlc.rdco.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Canada"
"Jeffrey Holden Hiking,Skiing,and Kayaking","http://data.jeffreyholden.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Irwin OAT Data Discovery","http://data.doildt.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"HIFLD Open Data","http://hifld-dhs-gii.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Officeof Geographic Information(Mass GIS)Open Data","http://maps.massgis.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Ohio Emergency Management Agency","http://data.oema.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Patrimonial Documentation Open Data","http://data.agdp.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Belgium"
"Esri TW Open Data示範網站","http://esritw.idt.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Algeria"
"Esri Canada National Capital Region-Open Data","http://data.esrica-ncr.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Canada"
"Redsmarts","http://datamap.reds.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"The Old Methodist Church Museumof Daphne","http://snowbirds.daphnemuseum.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Townof Mashpee","http://data.mashpeegis.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Raphael","http://bart.d2esrifrance.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","France"
"beta","http://beta.cso.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Ireland"
"County Donegal Maps","http://data.donegal.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Ireland"
"Geosystems","http://open.geosystems.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Bolivia"
"Open Data London-Example Site","http://london.esrica-tsg.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Canada"
"Hillsborough County Open Data Portal","http://gis.hillsborough.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Honolulu Open Geospatial Data","http://honolulu.cchnl.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Luna County","http://parcels.lunacountynm.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Maiden Planning","http://data.tomplanning.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"My Open Data Site","http://sitename.myorg.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Nebraska Departmentof Roads","http://data.ndor.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Norfolk, Va Open Data","http://data.orf.opendata.arcgis.com/",,"ArcGIS Open Data","United States"
"Penn DOTGIS","http://data.padotgis.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"St. Louis County,Minnesota","http://stlouiscountymndata.slcgis.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Georgia SBDC","http://georgiasbdc.gasbdc.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"g ISU Open Geospatial Data","http://gisu.isu.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Highlands County Boardof County Commissioners","http://data.hcbcc.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Legislative Services Agency","http://data.iowa-legis.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Michigan Departmentof Natural Resources","http://gis.midnr.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Racine County,WI","http://data.racinecounty.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Smart Communities","http://data.smartcommunities.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"State Government Open Data","http://state.gov.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Western GIS Consulting Open Data","http://westerngisconsultingopendata.westgis.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Mairiede Vannes Open Data","http://geo.mairie-vannes.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","France"
"Support ESRI Francetug-Copier","http://tug-1.d2esrifrance.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","France"
"KOBEオープンデータDEMO","http://esrij-1.ejoosaka.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Japan"
"Open Humanitarian Initiative","http://ohdr.nethope.opendata.arcgis.com/",,"ArcGIS Open Data","Kenya"
"Download Data Site","http://opendatakw.openware.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Kuwait"
"Esri Press-Official Book Site","http://data.esripressbooks.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Mali"
"Virginia Lottery","http://data.sweeney.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Open Data CARA","http://data.agglo-royan.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","France"
"GEOREDOPENDATA","http://datos.geored.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Panama"
"Fermanagh& Omagh District Council","http://data.odc.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United Kingdom"
"Westminster","http://data.westminster.opendata.arcgis.com/",,"ArcGIS Open Data","United Kingdom"
"ПорталоткрытыхданныхСмоленскойобласти","http://smolensk.company.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Russia"
"Info Bridge Consultants Ltd","http://data.ibc.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Tanzania"
"Santa Clara County Planningand Development Department","http://gisdata.sccplanning.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"the Data Driven Detroit Open Data Site","http://beta.d3.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Talgov See New Features-Delete Me","http://talgov-delete.tlcgis.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Douglas County GIS Open Data-Copy","http://data.dogis.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Hack The Commute","http://hackthecommute.esrihax.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Myorganisation","http://data.rasorg1.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Nashua Regional Planning Commission","http://data.nashuarpc.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Erie County,PA","http://data.ourcountyb.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"GIS Open Data","http://resources.lakelandflorida.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Gray& Pape,Inc.","http://test.g-p.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Healthand Climate","http://health.geoplatform.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Lake County Maps& Apps","http://data.lcgis.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Natural Resources Conservation Service Open Data","http://beta.nrcs.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"神戸市情報マップ ダウンロードページ","http://opengis.kobecity.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Japan"
"Esri EANatural Resources","http://data.esrieanatres.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Kenya"
"Stateof Tennessee STSGIS Downloadable Data","http://tn.tnmap.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Sustainable Southeast Partnership Open Data","http://sspopendata.ssp-community.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Roscommon Open Data Portal","http://roscommon.roscoco.opendata.arcgis.com/","Local Government, Community and Leisure, Culture and Heritage, Planning and Development, Finance, Public Services","ArcGIS Open Data","Ireland"
"Arc GIS Online","http://kmod.beirutgardens.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Kuwait"
"Prototype","http://prototype.gismontgomery.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Sarpy Open Data Bank","http://odb.sarpy.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"SLO Datafinder2.0","http://slodatafinder.calpoly.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Universityof Minnesota Enterprise GIS-Demo1","http://demo1.umn-egis.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Washington State Departmentof Transportation(ITD)","http://ptrtest.wsdot-dit.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Winter Park GIS","http://winterparkgis.winterpark.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Jussinopendatademosaitti","http://jussinopendata.esrifinland.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Finland"
"GISINATOR","http://data.gisinator.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","Spain"
"City of Dublin,Ohio-Open Data","http://data.dublinohio.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"City of Rockville,MD,Open Data","http://data.rockvillemd.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Clearinghouse","http://data.authority.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Deptof Health& Mental Hygiene GIS Center","http://data.nycdohmh.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"e Hydro","http://ehydro.cesamusace.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Vibrant Maps","http://data.vibmaps.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"Conseildépartementaldel'Indre-et-Loire","http://data.cg37.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","France"
"Smart City+ Open Data","http://data.smartcityplus.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","France"
"Volkerts GIS Data Portal","http://data.volkert.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","United States"
"camvsopendata","http://mcc.camvs.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","France"
"Colmar Agglomération Open Data","http://data.colmar-agglo.opendata.arcgis.com","Arcgis OpenData Portal","ArcGIS Open Data","France"
